id,functional,functional needs repair,non functional,prob_repair_needed,prob_repair_needed_people
67403,0.95,0.0,0.05,0.05,1.25
28912,0.99,0.0,0.01,0.01,1.25
12549,0.92,0.01,0.07,0.08,0.0
24328,0.0,0.08,0.92,1.0,80.0
13750,0.2,0.02,0.78,0.8,0.0
1574,0.24,0.35,0.41,0.76,0.76
44149,0.7,0.07,0.23,0.30000000000000004,0.0
53917,0.89,0.11,0.0,0.11,0.0
22705,0.9,0.0,0.1,0.1,9.8
66465,0.81,0.14,0.05,0.19,0.0
15644,0.42,0.44,0.14,0.5800000000000001,0.0
20773,0.09,0.03,0.88,0.91,0.0
33092,0.44,0.04,0.52,0.56,168.00000000000003
54392,1.0,0.0,0.0,0.0,0.0
37850,0.94,0.03,0.03,0.06,0.06
5576,0.2,0.0,0.8,0.8,0.8
60840,0.89,0.11,0.0,0.11,7.92
9971,0.01,0.02,0.97,0.99,69.3
57508,0.63,0.16,0.21,0.37,129.5
25872,0.62,0.01,0.37,0.38,0.0
43978,0.97,0.0,0.03,0.03,0.0
38181,0.98,0.0,0.02,0.02,0.0
24325,0.52,0.01,0.47,0.48,9.6
2724,0.08,0.07,0.85,0.9199999999999999,0.0
34794,0.0,0.02,0.98,1.0,50.0
56525,0.25,0.0,0.75,0.75,0.0
63155,0.02,0.01,0.97,0.98,0.0
67247,0.96,0.03,0.01,0.04,2.4
23387,0.7,0.07,0.23,0.30000000000000004,117.00000000000001
17873,0.51,0.03,0.46,0.49,0.0
18197,0.64,0.0,0.36,0.36,14.399999999999999
24834,0.97,0.02,0.01,0.03,19.5
4091,0.99,0.0,0.01,0.01,0.01
33261,0.88,0.0,0.12,0.12,0.0
44384,1.0,0.0,0.0,0.0,0.0
62096,0.0,0.0,1.0,1.0,0.0
64554,1.0,0.0,0.0,0.0,0.0
68314,1.0,0.0,0.0,0.0,0.0
53,0.17,0.0,0.83,0.83,166.0
23426,0.3,0.05,0.65,0.7000000000000001,0.0
38259,0.0,0.0,1.0,1.0,0.0
16631,0.17,0.04,0.79,0.8300000000000001,166.0
43162,0.99,0.0,0.01,0.01,0.25
44492,0.2,0.21,0.59,0.7999999999999999,0.0
38884,0.2,0.04,0.76,0.8,0.0
13690,0.88,0.12,0.0,0.12,30.0
60335,0.69,0.18,0.13,0.31,21.7
31856,0.27,0.01,0.72,0.73,0.0
67891,0.86,0.0,0.14,0.14,21.000000000000004
25564,0.11,0.0,0.89,0.89,53.4
55293,0.99,0.0,0.01,0.01,0.0
31866,1.0,0.0,0.0,0.0,0.0
71178,0.62,0.11,0.27,0.38,0.0
60279,0.99,0.0,0.01,0.01,0.8
28615,0.97,0.02,0.01,0.03,7.8
8744,1.0,0.0,0.0,0.0,0.0
48308,0.46,0.0,0.54,0.54,0.0
49626,0.01,0.0,0.99,0.99,198.0
38098,0.92,0.0,0.08,0.08,20.0
30309,0.09,0.86,0.05,0.91,227.5
8015,0.5,0.15,0.35,0.5,0.0
3496,0.0,0.96,0.04,1.0,189.0
56971,0.75,0.01,0.24,0.25,0.25
68616,0.96,0.04,0.0,0.04,0.0
8646,0.9,0.01,0.09,0.09999999999999999,18.0
74104,0.47,0.22,0.31,0.53,0.0
37501,0.13,0.07,0.8,0.8700000000000001,739.5000000000001
33001,0.22,0.0,0.78,0.78,0.0
69202,0.64,0.02,0.34,0.36000000000000004,0.36000000000000004
68409,0.84,0.0,0.16,0.16,8.0
51847,0.0,0.0,1.0,1.0,0.0
55647,0.37,0.0,0.63,0.63,0.0
17923,0.32,0.22,0.46,0.68,238.00000000000003
71743,0.07,0.02,0.91,0.93,93.0
51539,0.98,0.0,0.02,0.02,0.0
73819,0.48,0.52,0.0,0.52,0.0
66881,0.33,0.0,0.67,0.67,0.0
58768,0.56,0.05,0.39,0.44,132.0
2648,0.25,0.19,0.56,0.75,0.0
68933,0.97,0.01,0.02,0.03,2.88
12427,0.93,0.0,0.07,0.07,51.800000000000004
16633,0.03,0.02,0.95,0.97,0.0
24123,0.85,0.0,0.15,0.15,60.0
58551,0.0,0.0,1.0,1.0,0.0
17132,0.81,0.03,0.16,0.19,0.19
3027,0.03,0.0,0.97,0.97,242.5
2651,0.0,0.0,1.0,1.0,1.0
25998,0.0,0.0,1.0,1.0,300.0
63400,0.98,0.01,0.01,0.02,10.0
50028,0.02,0.0,0.98,0.98,0.0
67897,0.31,0.07,0.62,0.69,138.0
21425,0.72,0.0,0.28,0.28,0.0
71756,0.99,0.0,0.01,0.01,0.0
16862,1.0,0.0,0.0,0.0,0.0
15420,0.0,0.0,1.0,1.0,30.0
47784,0.37,0.55,0.08,0.63,0.0
712,0.8,0.03,0.17,0.2,30.0
54368,0.0,0.0,1.0,1.0,0.0
2866,0.84,0.11,0.05,0.16,0.0
51130,0.52,0.18,0.3,0.48,0.0
27993,0.49,0.03,0.48,0.51,0.0
21621,0.26,0.07,0.67,0.74,436.6
66038,0.83,0.03,0.14,0.17,2.72
42182,0.89,0.0,0.11,0.11,5.5
17694,0.0,0.0,1.0,1.0,300.0
57759,0.55,0.0,0.45,0.45,36.0
47978,1.0,0.0,0.0,0.0,0.0
52359,0.64,0.08,0.28,0.36000000000000004,226.80000000000004
69656,0.02,0.0,0.98,0.98,205.79999999999998
24086,0.2,0.0,0.8,0.8,0.0
43579,0.51,0.02,0.47,0.49,0.0
43284,0.06,0.04,0.9,0.9400000000000001,141.0
2877,0.03,0.0,0.97,0.97,242.5
21171,0.85,0.02,0.13,0.15,48.0
40982,0.53,0.46,0.01,0.47000000000000003,0.47000000000000003
48396,0.96,0.0,0.04,0.04,4.8
13323,0.15,0.77,0.08,0.85,0.0
28467,1.0,0.0,0.0,0.0,0.0
2768,0.98,0.01,0.01,0.02,4.36
73593,0.41,0.24,0.35,0.59,0.0
65164,0.85,0.02,0.13,0.15,105.0
69976,0.02,0.0,0.98,0.98,78.4
52145,0.26,0.74,0.0,0.74,29.6
49259,0.57,0.01,0.42,0.43,51.6
23542,0.83,0.03,0.14,0.17,0.17
69848,0.28,0.29,0.43,0.72,0.72
9305,0.96,0.0,0.04,0.04,0.92
14359,0.64,0.17,0.19,0.36,0.36
28925,0.0,0.0,1.0,1.0,0.0
21243,0.84,0.01,0.15,0.16,0.16
10616,0.18,0.02,0.8,0.8200000000000001,311.6
73667,0.42,0.02,0.56,0.5800000000000001,113.10000000000001
20566,0.95,0.0,0.05,0.05,17.5
63711,0.98,0.01,0.01,0.02,3.64
72840,0.77,0.03,0.2,0.23,80.5
31651,0.03,0.0,0.97,0.97,57.23
3782,0.69,0.31,0.0,0.31,18.6
6799,0.58,0.01,0.41,0.42,105.0
21402,0.33,0.55,0.12,0.67,13.4
35390,0.98,0.0,0.02,0.02,0.7000000000000001
12636,0.0,0.0,1.0,1.0,0.0
36887,0.44,0.02,0.54,0.56,318.64000000000004
20086,0.21,0.02,0.77,0.79,39.5
5634,0.91,0.0,0.09,0.09,0.0
48029,0.68,0.32,0.0,0.32,0.0
29927,0.5,0.0,0.5,0.5,0.0
2930,0.95,0.04,0.01,0.05,0.0
41800,0.7,0.03,0.27,0.30000000000000004,10.500000000000002
68349,0.47,0.0,0.53,0.53,1272.0
61678,0.0,0.0,1.0,1.0,0.0
30270,0.98,0.0,0.02,0.02,1.0
4678,0.99,0.0,0.01,0.01,0.01
9392,0.02,0.0,0.98,0.98,0.0
20735,0.94,0.0,0.06,0.06,7.199999999999999
49300,0.02,0.08,0.9,0.98,39.2
70339,0.44,0.11,0.45,0.56,0.0
25572,0.8,0.16,0.04,0.2,30.0
61445,0.24,0.58,0.18,0.76,0.0
32190,0.73,0.0,0.27,0.27,486.00000000000006
39189,0.9,0.1,0.0,0.1,11.200000000000001
14853,0.01,0.76,0.23,0.99,0.0
52207,0.93,0.01,0.06,0.06999999999999999,0.06999999999999999
48035,0.96,0.01,0.03,0.04,4.24
73122,0.95,0.01,0.04,0.05,4.0
16352,0.91,0.0,0.09,0.09,0.0
42721,0.9,0.0,0.1,0.1,40.0
15116,0.88,0.03,0.09,0.12,24.0
7837,0.02,0.0,0.98,0.98,0.98
56907,0.77,0.08,0.15,0.22999999999999998,149.5
46382,0.71,0.0,0.29,0.29,0.29
64521,0.28,0.05,0.67,0.7200000000000001,0.0
67362,0.83,0.16,0.01,0.17,0.0
61861,0.82,0.03,0.15,0.18,133.2
72139,0.21,0.09,0.7,0.7899999999999999,1421.9999999999998
3398,0.34,0.66,0.0,0.66,0.0
62911,0.94,0.06,0.0,0.06,0.0
48152,0.19,0.02,0.79,0.81,40.5
48001,0.97,0.0,0.03,0.03,3.0
64118,0.98,0.01,0.01,0.02,6.0
65793,0.92,0.0,0.08,0.08,2.4
61557,0.19,0.09,0.72,0.8099999999999999,0.0
32352,0.95,0.01,0.04,0.05,0.0
1830,1.0,0.0,0.0,0.0,0.0
50553,0.94,0.01,0.05,0.060000000000000005,0.0
51961,0.64,0.01,0.35,0.36,0.0
38481,0.49,0.15,0.36,0.51,0.0
48371,0.92,0.01,0.07,0.08,2.4
56540,0.48,0.25,0.27,0.52,0.0
18142,0.32,0.38,0.3,0.6799999999999999,0.0
72934,0.24,0.03,0.73,0.76,0.0
39300,0.0,0.04,0.96,1.0,0.0
40115,0.02,0.0,0.98,0.98,0.98
3793,0.45,0.04,0.51,0.55,66.0
59318,0.43,0.0,0.57,0.57,0.0
68070,0.73,0.04,0.23,0.27,67.5
67527,0.0,0.0,1.0,1.0,0.0
34898,0.9,0.01,0.09,0.09999999999999999,0.0
26592,0.97,0.0,0.03,0.03,0.0
67682,0.86,0.07,0.07,0.14,21.000000000000004
52394,0.81,0.16,0.03,0.19,28.5
32218,1.0,0.0,0.0,0.0,0.0
69045,0.99,0.0,0.01,0.01,0.0
12808,0.95,0.0,0.05,0.05,1.5
49250,0.91,0.09,0.0,0.09,0.0
64126,0.95,0.05,0.0,0.05,3.1500000000000004
64903,0.06,0.25,0.69,0.94,0.94
35165,0.71,0.06,0.23,0.29000000000000004,203.00000000000003
9543,0.14,0.07,0.79,0.8600000000000001,0.0
64635,0.81,0.02,0.17,0.19,127.3
47929,1.0,0.0,0.0,0.0,0.0
28329,0.82,0.13,0.05,0.18,9.0
67954,0.3,0.35,0.35,0.7,30.099999999999998
16575,0.15,0.22,0.63,0.85,289.0
16612,0.79,0.0,0.21,0.21,35.699999999999996
27003,0.97,0.02,0.01,0.03,5.91
73324,0.01,0.0,0.99,0.99,247.5
7043,0.13,0.0,0.87,0.87,0.0
22174,0.68,0.06,0.26,0.32,76.8
19450,0.36,0.58,0.06,0.6399999999999999,127.99999999999999
35825,0.97,0.02,0.01,0.03,8.4
9854,0.02,0.0,0.98,0.98,0.0
23254,0.01,0.98,0.01,0.99,0.99
72170,0.38,0.12,0.5,0.62,0.0
61999,0.24,0.09,0.67,0.76,0.76
70354,0.0,0.0,1.0,1.0,0.0
6877,0.04,0.0,0.96,0.96,0.0
47323,0.01,0.0,0.99,0.99,88.11
48624,0.0,0.0,1.0,1.0,360.0
6148,0.35,0.14,0.51,0.65,325.0
59698,0.19,0.02,0.79,0.81,115.02000000000001
67268,0.86,0.01,0.13,0.14,0.0
59174,0.01,0.0,0.99,0.99,0.0
68916,0.04,0.0,0.96,0.96,240.0
28358,1.0,0.0,0.0,0.0,0.0
57453,1.0,0.0,0.0,0.0,0.0
71952,0.0,0.0,1.0,1.0,356.0
1761,0.79,0.05,0.16,0.21000000000000002,0.0
15234,0.3,0.68,0.02,0.7000000000000001,0.0
60021,0.99,0.0,0.01,0.01,0.9
22567,0.45,0.0,0.55,0.55,165.0
17695,0.98,0.0,0.02,0.02,0.0
19872,0.97,0.02,0.01,0.03,0.0
22828,0.82,0.0,0.18,0.18,0.18
34896,0.62,0.0,0.38,0.38,201.4
35570,1.0,0.0,0.0,0.0,0.0
41325,0.65,0.0,0.35,0.35,0.35
8831,0.78,0.1,0.12,0.22,33.0
5345,0.95,0.0,0.05,0.05,30.0
19379,0.12,0.0,0.88,0.88,132.0
5514,1.0,0.0,0.0,0.0,0.0
61654,0.24,0.02,0.74,0.76,0.0
40482,0.04,0.05,0.91,0.9600000000000001,0.0
43123,0.93,0.0,0.07,0.07,0.0
40492,0.24,0.0,0.76,0.76,0.0
68733,0.73,0.0,0.27,0.27,0.0
3952,0.38,0.01,0.61,0.62,0.62
70288,0.04,0.02,0.94,0.96,0.0
30085,0.47,0.11,0.42,0.53,0.53
65837,0.02,0.05,0.93,0.9800000000000001,0.0
34752,0.84,0.0,0.16,0.16,0.0
2465,0.93,0.01,0.06,0.06999999999999999,13.999999999999998
11466,0.03,0.0,0.97,0.97,97.0
22313,0.49,0.09,0.42,0.51,0.0
30179,0.01,0.01,0.98,0.99,838.53
23505,0.35,0.22,0.43,0.65,0.0
48424,0.8,0.0,0.2,0.2,40.0
11150,1.0,0.0,0.0,0.0,0.0
70368,0.81,0.0,0.19,0.19,11.97
26935,0.1,0.07,0.83,0.8999999999999999,476.99999999999994
5919,0.26,0.67,0.07,0.74,0.0
2134,0.85,0.02,0.13,0.15,31.5
16652,0.89,0.05,0.06,0.11,0.11
59302,0.95,0.03,0.02,0.05,0.0
24210,0.02,0.14,0.84,0.98,0.98
6211,0.87,0.0,0.13,0.13,26.0
19743,0.98,0.01,0.01,0.02,0.0
10760,0.8,0.0,0.2,0.2,0.0
48104,0.61,0.02,0.37,0.39,136.5
50171,0.05,0.0,0.95,0.95,53.199999999999996
63137,0.47,0.0,0.53,0.53,5.300000000000001
38301,0.6,0.35,0.05,0.39999999999999997,140.0
10948,0.83,0.03,0.14,0.17,0.0
33232,0.86,0.01,0.13,0.14,105.00000000000001
61415,0.48,0.06,0.46,0.52,156.0
69131,0.52,0.03,0.45,0.48,1440.0
73555,0.92,0.06,0.02,0.08,0.0
46610,0.73,0.1,0.17,0.27,10.8
20922,0.14,0.11,0.75,0.86,0.86
55743,0.98,0.01,0.01,0.02,0.0
19341,0.8,0.02,0.18,0.19999999999999998,0.39999999999999997
9588,0.13,0.36,0.51,0.87,0.0
3293,0.92,0.01,0.07,0.08,0.0
55490,0.26,0.03,0.71,0.74,0.74
67678,0.78,0.0,0.22,0.22,0.22
36119,0.07,0.0,0.93,0.93,1422.9
62775,0.17,0.18,0.65,0.8300000000000001,0.8300000000000001
68162,0.24,0.09,0.67,0.76,342.0
66128,0.0,0.01,0.99,1.0,350.0
12036,1.0,0.0,0.0,0.0,0.0
15739,0.26,0.0,0.74,0.74,0.0
57048,0.84,0.02,0.14,0.16,32.0
15825,0.0,0.0,1.0,1.0,0.0
45590,0.67,0.24,0.09,0.32999999999999996,0.0
18055,0.9,0.0,0.1,0.1,8.0
34073,0.35,0.07,0.58,0.6499999999999999,0.0
14860,0.54,0.0,0.46,0.46,0.0
53713,0.7,0.14,0.16,0.30000000000000004,29.400000000000006
69327,0.0,0.0,1.0,1.0,1.0
60169,0.85,0.05,0.1,0.15000000000000002,60.00000000000001
26798,0.73,0.19,0.08,0.27,121.50000000000001
37122,0.35,0.09,0.56,0.65,227.5
45156,1.0,0.0,0.0,0.0,0.0
22874,0.17,0.01,0.82,0.83,332.0
58774,0.7,0.03,0.27,0.30000000000000004,0.0
40092,0.0,0.0,1.0,1.0,0.0
17487,0.99,0.0,0.01,0.01,0.0
35886,0.53,0.04,0.43,0.47,94.0
49892,0.84,0.0,0.16,0.16,36.800000000000004
66338,0.6,0.07,0.33,0.4,0.4
35481,0.01,0.0,0.99,0.99,0.0
4135,0.38,0.08,0.54,0.62,0.0
54191,0.71,0.08,0.21,0.29,0.0
31349,0.96,0.0,0.04,0.04,12.0
72271,0.68,0.02,0.3,0.32,134.4
48863,0.96,0.0,0.04,0.04,8.76
13758,0.0,0.0,1.0,1.0,0.0
33443,0.38,0.01,0.61,0.62,0.0
12003,0.31,0.03,0.66,0.6900000000000001,0.0
10845,0.08,0.0,0.92,0.92,0.0
47,0.27,0.21,0.52,0.73,292.0
70492,1.0,0.0,0.0,0.0,0.0
11346,0.29,0.01,0.7,0.71,142.0
20126,0.61,0.33,0.06,0.39,0.0
51000,0.45,0.1,0.45,0.55,0.0
64505,0.82,0.01,0.17,0.18000000000000002,27.000000000000004
58329,0.85,0.0,0.15,0.15,72.0
6311,0.11,0.0,0.89,0.89,0.0
22286,0.9,0.02,0.08,0.1,34.0
35013,0.94,0.03,0.03,0.06,0.0
6274,0.88,0.0,0.12,0.12,0.0
30904,0.31,0.03,0.66,0.6900000000000001,0.0
46606,0.39,0.01,0.6,0.61,2440.0
18461,0.95,0.04,0.01,0.05,0.0
15256,0.0,0.0,1.0,1.0,1.0
625,0.7,0.1,0.2,0.30000000000000004,165.60000000000002
42122,0.92,0.0,0.08,0.08,44.160000000000004
18277,0.2,0.61,0.19,0.8,156.0
68501,0.91,0.01,0.08,0.09,0.0
8816,0.33,0.63,0.04,0.67,0.0
62879,0.99,0.0,0.01,0.01,2.5
18554,0.97,0.01,0.02,0.03,7.199999999999999
27712,0.89,0.11,0.0,0.11,0.0
46935,0.03,0.0,0.97,0.97,19.4
57804,0.6,0.07,0.33,0.4,60.0
57711,0.84,0.15,0.01,0.16,0.16
5516,0.01,0.0,0.99,0.99,0.0
8305,1.0,0.0,0.0,0.0,0.0
57410,0.22,0.03,0.75,0.78,780.0
51412,0.01,0.0,0.99,0.99,0.0
25863,0.97,0.02,0.01,0.03,0.0
35994,0.62,0.02,0.36,0.38,0.38
55279,0.15,0.25,0.6,0.85,0.0
74102,0.92,0.0,0.08,0.08,0.0
38277,0.86,0.0,0.14,0.14,0.0
1998,0.08,0.89,0.03,0.92,0.0
52056,0.0,0.0,1.0,1.0,1.0
63679,1.0,0.0,0.0,0.0,0.0
71762,0.04,0.0,0.96,0.96,0.0
71432,0.89,0.04,0.07,0.11000000000000001,0.0
45592,0.76,0.0,0.24,0.24,1.2
13663,0.03,0.0,0.97,0.97,0.0
62227,0.01,0.17,0.82,0.99,198.0
3730,0.67,0.0,0.33,0.33,99.0
2451,0.96,0.01,0.03,0.04,0.0
46418,0.01,0.0,0.99,0.99,0.0
45996,0.04,0.0,0.96,0.96,139.2
60911,0.0,0.0,1.0,1.0,0.0
46089,1.0,0.0,0.0,0.0,0.0
65579,0.26,0.05,0.69,0.74,407.0
40407,0.0,0.0,1.0,1.0,212.0
66663,0.48,0.02,0.5,0.52,78.0
26597,0.06,0.01,0.93,0.9400000000000001,59.220000000000006
50540,1.0,0.0,0.0,0.0,0.0
58133,0.1,0.03,0.87,0.9,180.0
1493,0.85,0.0,0.15,0.15,0.0
31503,0.02,0.0,0.98,0.98,960.4
17910,0.21,0.0,0.79,0.79,0.0
19466,1.0,0.0,0.0,0.0,0.0
38120,0.0,0.0,1.0,1.0,0.0
66553,0.1,0.57,0.33,0.8999999999999999,0.8999999999999999
31696,1.0,0.0,0.0,0.0,0.0
51318,0.16,0.0,0.84,0.84,0.0
33584,0.01,0.01,0.98,0.99,0.0
48678,0.95,0.0,0.05,0.05,0.0
36112,0.63,0.01,0.36,0.37,0.37
6294,0.63,0.04,0.33,0.37,20.72
40612,0.03,0.02,0.95,0.97,0.97
62793,0.51,0.49,0.0,0.49,17.64
58090,0.37,0.03,0.6,0.63,189.0
2532,0.26,0.06,0.68,0.74,0.74
38865,0.0,0.0,1.0,1.0,0.0
35462,0.43,0.05,0.52,0.5700000000000001,0.0
51709,0.76,0.0,0.24,0.24,36.0
40624,0.0,0.0,1.0,1.0,0.0
41745,0.81,0.03,0.16,0.19,8.55
42315,0.96,0.0,0.04,0.04,7.36
38952,0.01,0.02,0.97,0.99,0.0
45540,0.54,0.02,0.44,0.46,0.46
73833,0.78,0.0,0.22,0.22,13.2
27771,0.67,0.04,0.29,0.32999999999999996,118.79999999999998
9336,0.85,0.02,0.13,0.15,37.5
12545,1.0,0.0,0.0,0.0,0.0
54811,0.27,0.02,0.71,0.73,73.0
48326,0.45,0.0,0.55,0.55,0.55
31787,0.0,0.15,0.85,1.0,350.0
61745,0.01,0.0,0.99,0.99,0.0
42091,1.0,0.0,0.0,0.0,0.0
43727,0.93,0.0,0.07,0.07,0.0
46917,0.87,0.0,0.13,0.13,0.0
26718,0.89,0.02,0.09,0.11,77.0
3138,0.29,0.38,0.33,0.71,0.0
72932,0.4,0.01,0.59,0.6,450.0
25707,0.14,0.0,0.86,0.86,275.2
68580,0.0,0.0,1.0,1.0,1.0
25064,1.0,0.0,0.0,0.0,0.0
7624,0.0,0.0,1.0,1.0,230.0
3830,0.0,0.0,1.0,1.0,0.0
13458,0.58,0.16,0.26,0.42000000000000004,0.0
57377,0.84,0.06,0.1,0.16,0.0
37294,0.24,0.0,0.76,0.76,0.0
39561,0.97,0.0,0.03,0.03,0.12
23237,0.64,0.12,0.24,0.36,144.0
72484,0.05,0.0,0.95,0.95,779.9499999999999
56490,0.96,0.01,0.03,0.04,0.0
13706,0.0,0.0,1.0,1.0,250.0
43035,0.09,0.06,0.85,0.9099999999999999,309.4
14084,0.93,0.02,0.05,0.07,0.0
55875,0.96,0.01,0.03,0.04,8.0
17299,1.0,0.0,0.0,0.0,0.0
1793,0.73,0.25,0.02,0.27,0.27
70943,0.96,0.01,0.03,0.04,0.0
65720,0.59,0.01,0.4,0.41000000000000003,164.0
49165,0.99,0.01,0.0,0.01,0.4
18879,0.92,0.01,0.07,0.08,0.0
3574,0.12,0.01,0.87,0.88,308.0
56735,0.94,0.02,0.04,0.06,27.3
45481,0.54,0.0,0.46,0.46,230.0
51772,0.06,0.0,0.94,0.94,112.8
74095,0.79,0.0,0.21,0.21,49.14
54000,0.88,0.12,0.0,0.12,0.0
34834,0.69,0.03,0.28,0.31000000000000005,0.0
50175,0.98,0.0,0.02,0.02,0.0
35733,0.49,0.06,0.45,0.51,0.0
6808,0.0,0.0,1.0,1.0,100.0
27311,1.0,0.0,0.0,0.0,0.0
73303,0.0,0.0,1.0,1.0,1.0
70335,0.0,0.0,1.0,1.0,0.0
2691,0.46,0.05,0.49,0.54,1080.0
12582,0.27,0.57,0.16,0.73,73.0
49536,0.02,0.02,0.96,0.98,0.0
23715,0.0,0.0,1.0,1.0,0.0
45445,0.72,0.02,0.26,0.28,0.0
52609,0.99,0.0,0.01,0.01,0.6
35087,0.48,0.38,0.14,0.52,0.0
42767,0.47,0.03,0.5,0.53,265.0
24373,0.86,0.02,0.12,0.13999999999999999,0.0
32895,0.0,0.0,1.0,1.0,0.0
9328,0.04,0.01,0.95,0.96,0.0
23275,0.02,0.01,0.97,0.98,0.0
20054,0.35,0.03,0.62,0.65,55.9
8378,0.86,0.0,0.14,0.14,0.0
47432,0.86,0.01,0.13,0.14,63.00000000000001
49863,0.93,0.01,0.06,0.06999999999999999,225.81999999999996
57828,0.96,0.01,0.03,0.04,0.0
31169,0.28,0.04,0.68,0.7200000000000001,266.40000000000003
38382,0.96,0.0,0.04,0.04,45.72
31205,0.97,0.02,0.01,0.03,2.25
23528,0.89,0.04,0.07,0.11000000000000001,17.6
26507,0.0,0.01,0.99,1.0,1.0
67091,0.18,0.02,0.8,0.8200000000000001,328.0
47734,0.81,0.0,0.19,0.19,9.5
927,1.0,0.0,0.0,0.0,0.0
48521,0.64,0.0,0.36,0.36,0.0
16963,0.85,0.01,0.14,0.15000000000000002,89.25000000000001
48233,0.73,0.06,0.21,0.27,0.0
58989,0.28,0.0,0.72,0.72,0.0
2399,0.67,0.03,0.3,0.32999999999999996,26.4
23530,0.84,0.06,0.1,0.16,0.0
46271,0.0,0.0,1.0,1.0,200.0
71726,0.36,0.03,0.61,0.64,0.0
23526,0.01,0.06,0.93,0.99,0.0
49861,0.09,0.0,0.91,0.91,72.8
22619,0.0,0.0,1.0,1.0,0.0
41264,0.0,0.01,0.99,1.0,250.0
20623,0.96,0.02,0.02,0.04,0.0
35694,0.61,0.08,0.31,0.39,0.0
68210,0.0,0.0,1.0,1.0,60.0
13446,0.81,0.04,0.15,0.19,0.0
11321,0.18,0.63,0.19,0.8200000000000001,172.20000000000002
56312,1.0,0.0,0.0,0.0,0.0
19533,0.63,0.04,0.33,0.37,0.0
7275,0.77,0.02,0.21,0.22999999999999998,36.8
